Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
FRACTAL TRACK,AAPL,Long,Weekly,2026-02-06,275.91,,,264.18,-4.2514%,,Open,93.75
OSCILLATOR DELTA,MCY.NZ,Long,Daily,2026-02-05,6.47,,,6.39,-1.2365%,,Open,73.91
TRENDPULSE,CEN.NZ,Long,Daily,2026-02-05,9.65,,,9.29,-3.7306%,,Open,88.89
TRENDPULSE,MEL.NZ,Long,Daily,2026-02-05,5.71,,,5.66,-0.8757%,,Open,93.94
OSCILLATOR DELTA,^BVSP,Long,Daily,2026-02-05,182127.0,,,188786.9844,3.6568%,,Open,81.25
FRACTAL TRACK,ABNB,Long,Daily,2026-02-05,121.27,2026-02-26,136.97,136.97,12.9463%,21.0,Closed,100.0
TRENDPULSE,UPS,Long,Daily,2026-02-05,116.55,2026-02-13,119.24,119.24,2.3080%,8.0,Closed,84.0
BAND MATRIX,GS,Long,Daily,2026-02-05,890.41,,,859.57,-3.4636%,,Open,77.78
TRENDPULSE,AAPL,Long,Daily,2026-02-04,276.49,,,264.18,-4.4522%,,Open,92.31
TRENDPULSE,TFII.TO,Long,Daily,2026-02-04,167.11,,,162.97,-2.4774%,,Open,84.21
TRENDPULSE,BYD.TO,Long,Daily,2026-02-04,233.78,,,238.09,1.8436%,,Open,81.82
TRENDPULSE,NKE,Long,Daily,2026-02-04,64.22,,,62.18,-3.1766%,,Open,73.33
FRACTAL TRACK,^NSEI,Long,Daily,2026-02-04,25776.0,,,25178.6504,-2.3175%,,Open,100.0
TRENDPULSE,C6L.SI,Long,Daily,2026-02-04,6.6,2026-02-11,6.85,6.85,3.7879%,7.0,Closed,87.5
TRENDPULSE,BIPC.TO,Long,Daily,2026-02-04,67.17,2026-02-11,69.72,69.72,3.7963%,7.0,Closed,85.71
TRENDPULSE,SBUX,Long,Daily,2026-02-04,96.97,,,98.02,1.0828%,,Open,91.67
SIGMASHELL,TCEHY,Long,Daily,2026-02-04,70.68,,,65.6,-7.1873%,,Open,72.73
DELTADRIFT,BTC-USD,Long,Daily,2026-02-03,78932.3281,,,65470.7383,-17.0546%,,Open,80.0
FRACTAL TRACK,^NZ50,Long,Daily,2026-02-03,13421.5195,,,13722.9697,2.2460%,,Open,100.0
