Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Signal First Origination Date
TRENDPULSE,"BNS.TO, Long, 2025-12-07 (Price: 99.26)",No Exit Yet,"0.95%, 3 days","100.0%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 100.1200), 0.87% above",3 days,No Information,No Information,No Information,No Information,No Information,3.36% above/1.5% above/0.95% above,,,,,7.58%,2.54%,5.04%,1.18,0.04,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,96.69,2025-10-15
FRACTAL TRACK,"BN.TO, Long, 2025-12-07 (Price: 64.54)",No Exit Yet,"-0.34%, 1 day (business days)","96.3%, Past 1 years, 27","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 62.4700), 3.21% below",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 58.0258), 10.85% above, Upmove Bounce Back","2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",No Information,,,3.8 years (calendar days)/3.6 months (calendar days)/1.8 year (calendar days),,6.26%,12.66%,-6.4%,0.77,0.46,,,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets),entry,65.06,2025-11-20
FRACTAL TRACK,"MA, Long, 2025-12-07 (Price: 545.52)",No Exit Yet,"-0.93%, 1 day (business days)","93.33%, Past 19 years, 30","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 572.2300), 4.90% above",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 535.7184), 0.88% above, Upmove Bounce Back","2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",No Information,,,3.8 years (calendar days)/1.6 month (calendar days)/1.7 year (calendar days),,8.62%,27.38%,-18.77%,0.51,0.97,,,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets),entry,547.64,2025-10-27
TRENDPULSE,"TRI.TO, Short, 2025-12-07 (Price: 184.66)",No Exit Yet,"2.89%, 3 days","88.24%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 182.0200), 1.43% below",3 days,No Information,No Information,No Information,No Information,No Information,2.89% below/3.92% below/2.89% below,,,,,0.57%,5.4%,-4.83%,0.32,0.43,,,No Data (Across ALL Assets),25.0%/8/0 days (Across ALL Assets),entry,187.17,2025-10-31
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",No Exit Yet,"-0.22%, 3 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 315.8400), 1.48% above",3 days,No Information,No Information,No Information,No Information,No Information,0.22% below/0.22% below/0.22% below,,,,,9.08%,6.77%,2.31%,1.49,0.4,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,309.48,2025-12-05
TRENDPULSE,"IFT.NZ, Long, 2025-12-07 (Price: 11.78)",No Exit Yet,"-2.72%, 3 days","100.0%, Past 10 years, 24","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 10.9800), 6.79% below",3 days,No Information,No Information,No Information,No Information,No Information,2.72% below/2.72% below/2.72% below,,,,,9.48%,8.73%,0.75%,1.08,0.54,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,11.69,2025-11-12
FRACTAL TRACK,"XLY, Long, 2025-12-07 (Price: 119.73)",No Exit Yet,"-1.45%, 1 day (business days)","96.43%, Past 20 years, 28","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 121.8500), 1.77% above",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 108.2727), 8.97% above, Upmove Bounce Back","2025-04-13 (Price: 86.55), 2025-09-21 (Price: 121.7)",No Information,,,3.8 years (calendar days)/4.0 months (calendar days)/1.8 year (calendar days),,7.9%,10.2%,-2.3%,0.5,0.39,,,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets),entry,117.66,2025-10-14
FRACTAL TRACK,"IWM, Long, 2025-12-07 (Price: 250.77)",No Exit Yet,"0.04%, 1 day (business days)","97.56%, Past 20 years, 41","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 250.7900), 0.01% above",1 day (business days),No Information,No Information,No Information,"23.66% (Price: 233.5959), 7.39% above, Upmove Bounce Back","2025-04-13 (Price: 171.73), 2025-10-19 (Price: 252.77)",No Information,,,5.2 years (calendar days)/1.8 month (calendar days)/2.2 years (calendar days),,5.07%,6.62%,-1.55%,0.38,0.22,,,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets),entry,245.57,2025-10-14
FRACTAL TRACK,"COIN, Long, 2025-12-07 (Price: 269.73)",No Exit Yet,"1.66%, 1 day (business days)","100.0%, Past 4 years, 4","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 245.1200), 9.12% below",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 228.1976), 20.16% above, Upmove Bounce Back","2023-01-08 (Price: 31.55), 2024-12-08 (Price: 349.75)",No Information,,,3.3 months (calendar days)/3.3 months (calendar days)/3.3 months (calendar days),,68.35%,0.11%,68.24%,0.51,0.47,,,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets),entry,260.53,2025-12-05
TRENDPULSE,"BAC, Long, 2025-12-07 (Price: 53.95)",No Exit Yet,"0.24%, 3 days","76.47%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 55.2700), 2.45% above",3 days,No Information,No Information,No Information,No Information,No Information,0.24% above/0.24% above/0.24% above,,,,,6.48%,6.95%,-0.47%,0.61,0.35,,,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),entry,53.5,2025-10-31
FRACTAL TRACK,"IBKR, Long, 2025-12-07 (Price: 64.5)",No Exit Yet,"2.03%, 1 day (business days)","100.0%, Past 18 years, 31","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-19 (Price: 64.2600), 0.37% below",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 57.8675), 13.73% above, Upmove Bounce Back","2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",No Information,,,5.1 years (calendar days)/2.0 month (calendar days)/2.0 years (calendar days),,6.02%,12.31%,-6.29%,0.53,0.43,,,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets),entry,64.23,2025-10-21
TRENDPULSE,"TD.TO, Long, 2025-12-05 (Price: 122.2)",No Exit Yet,"0.0%, 0 days","80.65%, Past 4 years, 31","Daily, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 127.9900), 4.74% above",0 days,No Information,No Information,No Information,No Information,No Information,1.76% above/0.0% below/0.0% below,4.43%/0.31%/2.11%,"10.76%, 19.34%",3.9 months/4 days/16 days,,1.65%,7.04%,-5.39%,0.02,0.24,,,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),entry,120.79,2025-12-05
DELTADRIFT,"GNE.NZ, Long, 2025-12-05 (Price: 2.36)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 2.4100), 2.12% above",0 days,No Information,No Information,No Information,No Information,No Information,No Information,5.47%/2.27%/3.64%,"7.36%, 7.72%",1.2 month/1 day/10 days,,16.24%,-6.13%,22.37%,0.94,-0.41,,,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets),entry,2.39,2025-12-05
TRENDPULSE,"ENZL, Long, 2025-12-05 (Price: 45.995)",No Exit Yet,"0.0%, 0 days","81.82%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 44.8200), 2.55% below",0 days,No Information,No Information,No Information,No Information,No Information,0.8% above/0.0% below/0.0% below,12.26%/2.26%/5.43%,"0.65%, 24.58%",10.1 months/19 days/2.6 months,,11.14%,2.84%,8.3%,1.13,0.01,,,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),entry,45.67,2025-12-05
TRENDPULSE,"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",No Exit Yet,"0.0%, 0 days","96.97%, Past 4 years, 33","Daily, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-19 (Price: 3282.0000), 1.35% above",0 days,No Information,No Information,No Information,No Information,No Information,0.28% above/0.0% below/0.0% below,13.38%/0.84%/4.51%,"12.98%, 25.8%",3.1 months/5 days/15 days,,36.95%,5.27%,31.68%,0.86,0.17,,,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),entry,3230.0,2025-11-11
TRENDPULSE,"KXS.TO, Long, 2025-12-04 (Price: 178.88)",No Exit Yet,"0.0%, 0 days","85.29%, Past 4 years, 34","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-19 (Price: 176.9500), 1.08% below",0 days,No Information,No Information,No Information,No Information,No Information,3.07% above/0.0% below/0.0% below,10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,,7.29%,9.5%,-2.21%,0.1,0.36,,,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),entry,175.09,2025-11-24
SIGMASHELL,"NVO, Long, 2025-12-04 (Price: 47.99)",No Exit Yet,"0.0%, 0 days","80.0%, Past 5 years, 10","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-19 (Price: 48.0900), 0.21% above",0 days,"-3.57, 70.37",No Information,No Information,No Information,No Information,No Information,24.95%/14.95%/20.78%,"28.06%, 44.04%",4.6 months/1.7 month/2.9 months,,5.37%,13.17%,-7.8%,0.12,0.48,,,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets),entry,47.98,2025-11-03
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-04 (Price: 38.2)",No Exit Yet,"0.0%, 0 days","95.45%, Past 5 years, 22","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-19 (Price: 37.1000), 2.88% below",0 days,No Information,No Information,No Information,"50% (Price: 37.605), 1.58% above, Upmove Bounce Back","2025-10-23 (Price: 34.75), 2025-11-26 (Price: 40.46)",No Information,42.57%/0.52%/10.24%,"1.6%, 46.76%",2.4 years/20 days/8.5 months,,7.53%,0.59%,6.94%,0.41,0.02,,,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),entry,38.49,2025-10-16
OSCILLATOR DELTA,"MCY.NZ, Long, 2025-12-03 (Price: 6.37)",No Exit Yet,"0.0%, 0 days","83.33%, Past 6 years, 36","Daily, is Confirmed on 2025-12-03",No Cancellation Possible,"2025-12-19 (Price: 6.3000), 1.10% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,13.28%/5.12%/7.39%,"14.5%, 17.58%",2.6 months/2 days/26 days,,14.99%,4.77%,10.22%,0.22,0.17,,,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets),entry,6.32,2025-12-03
TRENDPULSE,"WIPRO.NS, Long, 2025-12-03 (Price: 254.69)",No Exit Yet,"0.0%, 0 days","84.62%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-19 (Price: 264.4500), 3.83% above",0 days,No Information,No Information,No Information,No Information,No Information,1.81% above/0.0% below/0.0% below,12.97%/1.23%/3.81%,"4.22%, 15.72%",1.4 month/5 days/13 days,,25.69%,10.65%,15.03%,0.61,0.39,,,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),entry,250.6,2025-10-15
FRACTAL TRACK,"JPY=X, Long, 2025-12-03 (Price: 155.807)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 28","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-20 (Price: 157.7500), 1.25% above",0 days,No Information,No Information,No Information,"23.66% (Price: 155.1259), 0.44% above, Upmove Bounce Back","2025-09-17 (Price: 146.217), 2025-11-20 (Price: 157.887)",No Information,7.63%/0.83%/2.99%,"-0.0%, 5.8%",5.4 months/15 days/1.8 month,,12.99%,7.87%,5.12%,0.49,0.4,,,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),entry,155.749,2025-12-03
TRENDPULSE,"MAR, Long, 2025-12-03 (Price: 306.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-19 (Price: 310.1600), 1.14% above",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,20.78%/1.46%/5.76%,"-0.0%, 12.09%",2.1 months/4 days/17 days,,113.25%,11.5%,101.74%,0.99,0.41,,,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),entry,303.52,2025-11-05
TRENDPULSE,"SLV, Long, 2025-12-01 (Price: 52.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-19 (Price: 60.9300), 16.01% above",0 days,No Information,No Information,No Information,No Information,No Information,8.51% above/0.0% below/0.0% below,9.5%/2.69%/5.62%,"-0.0%, 15.17%",2.2 months/4 days/15 days,,113.36%,17.43%,95.93%,1.35,0.62,,,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),entry,51.99,2025-12-01
TRENDPULSE,"XLV, Long, 2025-11-30 (Price: 157.65)",No Exit Yet,"-1.5%, 0 days","86.21%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 154.9400), 1.72% below",0 days,No Information,No Information,No Information,No Information,No Information,11.58% above/2.19% below/1.5% below,17.42%/2.58%/8.85%,"20.84%, 36.99%",1.9 year/2.9 months/7.8 months,,5.12%,6.82%,-1.7%,0.64,0.25,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),entry,144.07,2025-11-12
TRENDPULSE,"NVO, Short, 2025-11-30 (Price: 49.35)",No Exit Yet,"0.61%, 10 days","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 48.0900), 2.55% below",10 days,No Information,No Information,No Information,No Information,No Information,0.83% below/9.07% above/0.61% below,,,,,3.32%,5.5%,-2.18%,0.43,0.53,,,100.0%/1/0 days (Across ALL Assets),0.0%/7/0 days (Across ALL Assets),entry,49.41,2025-11-30
BASELINEDIVERGENCE,"SPY, Long, 2025-11-30 (Price: 683.39)",No Exit Yet,"-0.46%, 0 days","90.48%, Past 10 years, 21","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 680.5900), 0.41% below",0 days,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,10.23%/0.46%/4.63%,"5.53%, 12.25%",4.1 months/1.5 month/2.5 months,,8.38%,12.23%,-3.85%,0.78,0.56,,,88.89%/27/2.9 months (Across ALL Assets),85.45%/55/2.5 months (Across ALL Assets),entry,662.69,2025-11-28
TRENDPULSE,"CSCO, Long, 2025-11-30 (Price: 76.94)",No Exit Yet,"-1.17%, 0 days","81.82%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 78.4200), 1.92% above",0 days,No Information,No Information,No Information,No Information,No Information,4.01% above/1.73% below/1.17% below,25.25%/6.97%/16.78%,"26.7%, 42.44%",11.6 months/3.6 months/6.6 months,,6.7%,1.67%,5.03%,0.55,0.08,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),entry,74.61,2025-10-31
TRENDPULSE,"NA.TO, Long, 2025-11-30 (Price: 168.95)",No Exit Yet,"-0.5%, 0 days","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 176.0300), 4.19% above",0 days,No Information,No Information,No Information,No Information,No Information,7.28% above/0.5% below/0.5% below,28.7%/1.41%/17.14%,"5.23%, 30.62%",1.9 year/3.6 months/7.4 months,,11.63%,10.7%,0.94%,1.75,0.45,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),entry,157.19,2025-11-12
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-30 (Price: 1007.6)",No Exit Yet,"-0.55%, 0 days","90.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 985.5000), 2.19% below",0 days,No Information,No Information,No Information,No Information,No Information,0.55% below/0.55% below/0.55% below,54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,,15.97%,19.29%,-3.32%,0.9,0.75,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),entry,985.0,2025-10-29
TRENDPULSE,"^NSEI, Long, 2025-11-30 (Price: 26202.9492)",No Exit Yet,"-1.7%, 10 days","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 25966.4004), 0.90% below",10 days,No Information,No Information,No Information,No Information,No Information,1.7% below/0.46% below/1.7% below,,,,,7.14%,6.55%,0.59%,0.81,0.36,,,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),entry,25696.8496,2025-11-30
TRENDPULSE,"ATZ.TO, Long, 2025-11-30 (Price: 110.5)",No Exit Yet,"1.13%, 0 days","100.0%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-19 (Price: 117.3800), 6.23% above",0 days,No Information,No Information,No Information,No Information,No Information,5.47% above/1.13% above/1.13% above,31.79%/5.83%/20.18%,"0%, 57.81%",9.5 months/24 days/4.5 months,,25.42%,20.42%,5.0%,2.19,0.65,,,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),entry,106.85,2025-11-18
FRACTAL TRACK,"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"0.3%, 0 days","88.0%, Past 80 years, 25","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 264.4500), 5.98% above",0 days,No Information,No Information,No Information,"61.8% (Price: 232.7652), 7.52% above, Upmove Bounce Back","2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",No Information,196.24%/14.77%/97.8%,"25.41%, 71.77%",3.8 years/8 months/1.8 year,,9.34%,22.33%,-12.98%,0.43,0.63,,,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),entry,240.67,2025-10-14
TRENDPULSE,"EFN.TO, Long, 2025-11-30 (Price: 37.23)",No Exit Yet,"-1.24%, 0 days","88.89%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-19 (Price: 36.0800), 3.09% below",0 days,No Information,No Information,No Information,No Information,No Information,0.14% above/1.24% below/1.24% below,26.0%/1.9%/9.06%,"53.48%, 76.43%",4.3 months/24 days/1.8 month,,4.38%,15.83%,-11.45%,0.07,0.55,,,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),entry,36.72,2025-10-26
FRACTAL TRACK,"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-0.09%, 0 days","88.46%, Past 48 years, 26","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 1565.1000), 0.15% below",0 days,No Information,No Information,No Information,"23.66% (Price: 1322.8731), 18.39% above, Upmove Bounce Back","2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",No Information,415.66%/5.67%/156.39%,"26.03%, 38.57%",6.2 years/6.5 months/2.3 years,,8.96%,19.65%,-10.68%,0.38,0.63,,,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),entry,1486.0,2025-11-03
TRENDPULSE,"IEI, Long, 2025-11-30 (Price: 120.26)",No Exit Yet,"-0.58%, 0 days","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 119.3400), 0.77% below",0 days,No Information,No Information,No Information,No Information,No Information,0.58% below/0.43% below/0.58% below,2.72%/1.13%/1.87%,"15.13%, 15.6%",1.1 year/3.6 months/7.6 months,,0.4%,0.95%,-0.55%,0.05,-0.88,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),entry,119.3,2025-11-30
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",No Exit Yet,"-0.93%, 0 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 47.0600), 1.36% above",0 days,No Information,No Information,No Information,No Information,No Information,2.75% above/1.39% above/0.93% below,13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,,8.8%,4.94%,3.87%,0.91,0.11,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),entry,45.21,2025-10-24
FRACTAL TRACK,"TSLA, Long, 2025-11-30 (Price: 430.17)",No Exit Yet,"-0.01%, 0 days","80.65%, Past 15 years, 31","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 481.2000), 11.86% above",0 days,No Information,No Information,No Information,"23.66% (Price: 375.7432), 14.48% above, Upmove Bounce Back","2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",No Information,6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years/3.1 months/2.1 years,,14.07%,45.46%,-31.4%,0.27,1.18,,,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),entry,402.17,2025-11-18
TRENDPULSE,"SJ.TO, Long, 2025-11-30 (Price: 87.09)",No Exit Yet,"-1.42%, 0 days","80.95%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 85.4800), 1.85% below",0 days,No Information,No Information,No Information,No Information,No Information,1.42% below/1.23% below/1.42% below,52.17%/3.61%/37.17%,"45.19%, 70.23%",1.7 year/2.9 months/6.3 months,,11.4%,21.44%,-10.04%,0.91,0.78,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),entry,79.13,2025-11-05
TRENDPULSE,"GOOG, Long, 2025-11-30 (Price: 320.12)",No Exit Yet,"-1.56%, 0 days","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-19 (Price: 308.6100), 3.60% below",0 days,No Information,No Information,No Information,No Information,No Information,5.16% above/1.56% below/1.56% below,19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,,35.83%,21.1%,14.73%,1.74,0.79,,,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),entry,311.01,2025-10-14
FRACTAL TRACK,"META, Short, 2025-11-30 (Price: 647.95)",No Exit Yet,"1.09%, 0 days","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 658.7700), 1.67% above",0 days,No Information,No Information,No Information,"23.66% (Price: 628.6993), 1.94% above, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/11.97%,"-0.0%, 32.63%",2.2 months/20 days/1.2 month,,94.49%,5.3%,89.19%,0.68,0.8,,,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets),entry,656.0,2025-11-07
